,price (CLP),rooms,size (m2),address
1,380000,3.0,43.0,"Cardenal Samoré 1395 Departamento,..."
4,420000,3.0,70.0,"Avenida Francia, Valparaíso"
5,400000,3.0,60.0,"Avenida Cardenal Samoré, Curauma, ..."
6,490000,1.0,37.0,"Edmundo Eluchans, Costas De Montem..."
7,500000,3.0,77.0,"Los Pinos, Valparaíso"
8,580000,3.0,80.0,"San Luis, Cerro Placeres, Valparaí..."
9,400000,2.0,56.0,"Ibsen, Valparaíso"
10,480000,3.0,68.0,"Avenida Lomas De La Luz, Curauma, ..."
11,600000,3.0,77.0,"Río Imperial, Montemar, Concón"
12,350000,3.0,35.0,"Lago Zenteno, Reñaca Alto, Viña De..."
13,270000,1.0,40.0,"Calle Isla De Pascua, Valparaíso"
14,548000,2.0,48.0,"Avenida Costa De Montemar, Costas ..."
15,900000,3.0,93.0,"Los Prunos, Montemar, Concón"
16,270000,2.0,45.0,"Almirante Gomez Carreño, Belloto C..."
18,500000,3.0,75.0,"Hontaneda, Cerro El Litre, Valpara..."
21,500000,2.0,57.0,"P Mackenna 1635, Forestal, Viña De..."
23,400000,1.0,40.0,"Calle Abedules 1789, Montemar, Con..."
24,600000,2.0,66.0,"Arenales 156, Costas De Montemar, ..."
25,297000,1.0,32.0,"Avenida Argentina 520, Los Andes, ..."
26,450000,1.0,40.0,"Av. Costa De Montemar 394, 2511524..."
27,710000,3.0,88.0,"(mgg) Agua Santa 3d2b, Agua Santa,..."
28,650000,3.0,92.0,"Vergara / Playa Negra, Concón, Los..."
29,650000,2.0,63.0,"Arenales 196, Costas De Montemar, ..."
31,500000,1.0,48.0,"Gral. Bulnes 215, Reñaca, Viña Del..."
32,550000,2.0,64.0,"Arenales 540, Concón, Chile, Costa..."
33,550000,3.0,63.0,"Los Almendros De Reñaca, Valparaíso"
34,315000,1.0,33.0,"Avenida Argentina 520, Los Andes, ..."
35,900000,3.0,82.0,"Los Olivillos, Concón, Chile, Mont..."
36,650000,2.0,66.0,"Gral. Bulnes 215, Reñaca, Viña Del..."
39,550000,2.0,57.0,"P Mackenna 1635, Forestal, Viña De..."
40,550000,2.0,57.0,"P Mackenna 1635, Forestal, Viña De..."
42,430000,2.0,46.0,"Avenida Argentina 520, Los Andes, ..."
44,440000,3.0,65.0,"Hanga Roa 505, Valparaíso, Chile, ..."
45,470000,3.0,80.0,"A Pasos De Mirador Pablo Neruda!, ..."
